customer_id,country,industry,company_size,acquisition_channel,plan_type,contract_type,payment_method,tenure_months,auto_renew,discount_percent,annual_revenue,monthly_charges,login_frequency,weekly_active_days,monthly_active_users,feature_adoption_rate,usage_change_30d,usage_change_90d,support_tickets_30d,support_tickets_90d,open_tickets,avg_resolution_hours,escalation_count,emails_opened,emails_clicked,csat_score,nps_score,sentiment_trend,dominant_support_topic,churn_probability_ground_truth,churned,churn_date,segment_id,segment_name
C00001,USA,Finance,51-200,Event,Professional,Annual,Invoice,50,False,0,5840.583913964088,486.715326163674,21.0090011225589,2.465866571559053,10.683939221739609,0.225806934561137,-15.533047205423763,-11.3342401755903,0,1,1,56.972647579302624,0,2,1,3.89575996208794,7.230441330154294,-0.44936,Performance,0.870116187772296,1,2026-10-08,1,Low Engagement
C00002,India,Finance,201-500,Direct,Starter,Annual,Invoice,57,True,10,1082.3062772452777,90.1921897704398,10.645834164505722,4.02637849348862,2.345197380622112,0.2872492758669679,-25.541385732733744,-27.802863497182862,4,5,0,5.912568788951589,0,9,0,4.288044225563166,7.230441330154294,-0.28602,Performance,0.7379504467636632,0,,0,Support Heavy
C00003,Germany,Education,1-10,Paid Ads,Professional,Annual,PayPal,45,False,10,5938.96732886153,494.9139440717942,18.630050060419016,0.9546530073599092,1.0,0.3157723752074056,-9.413652736677063,-8.53573287895142,0,0,0,10.343050185195745,0,6,0,4.753692275004121,7.230441330154294,0.0,Account,0.3667350240852151,1,2026-09-22,1,Low Engagement
C00004,Canada,Retail,1000+,Direct,Professional,Month-to-Month,PayPal,34,True,0,6337.910672380651,528.1592226983876,24.54062311448944,3.107589728591837,10.423945453884782,0.7450861544065649,-2.134598029025949,-12.268587184358749,0,0,0,6.3865025158361926,0,5,1,4.288044225563166,7.788462742995248,0.12556666666666666,Account,0.2499040307411092,0,,1,Low Engagement
C00005,USA,Finance,1-10,Organic Search,Enterprise,2-Year,PayPal,19,True,0,23778.554585593152,1981.546215466096,30.0,2.952384372049442,12.686371389781025,0.3467495807676388,-53.56171496992802,-51.49961015680277,3,3,0,61.766491100043424,0,7,2,3.306600190860161,7.230441330154294,-0.33602,Performance,0.5023208818159056,1,2026-09-22,4,High Value Loyal
C00006,USA,Manufacturing,1000+,Event,Starter,2-Year,Credit Card,34,False,0,1194.4500681549157,99.53750567957631,9.912141601954794,2.6853354920067014,4.4506083025099885,0.4937304632847363,4.4020799398036745,6.484190255108816,1,4,0,7.757942747214829,0,3,2,5.0,7.615340064071116,0.0,Account,0.3969145890621811,0,,1,Low Engagement
C00007,USA,Finance,501-1000,Referral,Starter,Month-to-Month,PayPal,59,True,0,1129.1387066911827,94.09489222426522,13.01720639954563,5.370678364056366,4.899203879671036,0.8374574764916605,-0.3309491661040411,-9.304124629306726,1,2,0,10.20269420226806,0,7,1,4.288044225563166,5.545244783525307,0.0,Account,0.0816004673399288,0,,1,Low Engagement
C00008,Australia,Manufacturing,1000+,Direct,Starter,Annual,PayPal,36,True,0,1202.7784534031982,100.23153778359983,11.868219052851568,3.241370561150141,1.6196470397818312,0.7100961011212541,-38.98561315521934,-32.55219073855965,0,1,0,20.8226242387241,0,10,0,3.0467948158920537,7.230441330154294,-0.357525,Performance,0.7042159327204306,0,,3,High Value At Risk
C00009,Canada,Finance,501-1000,Referral,Professional,Annual,Credit Card,4,False,20,4661.829767389219,388.4858139491016,30.0,0.403690202078875,9.265769552818352,0.0451173786378769,-43.16988480560396,-37.38330498543712,1,1,3,23.85484563383852,0,6,1,4.126718251084901,1.9864712121463743,-0.43136,Performance,0.956960866359293,1,2026-09-30,2,New & Growing
C00010,Germany,Manufacturing,51-200,Referral,Starter,Annual,Invoice,10,False,0,1193.983608738126,99.49863406151051,12.665740306266123,2.3989017693753283,3.9127534458852793,0.7031535456143874,5.722421733957107,6.681207077576524,0,1,0,10.82831146176365,0,5,3,4.288044225563166,7.230441330154294,0.1909,Account,0.0420869916493475,0,,2,New & Growing
