,count,mean,std,min,25%,50%,75%,max
tenure_months,5000.0,30.3658,17.23643261472212,1.0,15.0,30.5,45.0,59.0
discount_percent,5000.0,3.938,6.627287543787247,0.0,0.0,0.0,10.0,20.0
annual_revenue,5000.0,6096.159869775787,7594.172808142079,723.409503733745,1155.5059311201378,1457.0145544083207,6177.6663865900555,29924.326425784737
monthly_charges,5000.0,508.0133224813156,632.84773401184,60.284125311145424,96.29216092667816,121.41787953402672,514.805532215838,2493.6938688153946
login_frequency,5000.0,15.94691169860859,9.208633343256922,1.0,8.736467981149962,14.082202882126925,24.27832408912927,30.0
weekly_active_days,5000.0,2.9957992021919373,1.4537600319481603,0.0,1.9753641152272388,2.9707999124786904,3.985489488910409,7.0
monthly_active_users,5000.0,9.762541510159979,8.2816796908312,1.0,4.608984460075428,6.875097203457165,11.862300644382373,64.16076590959216
feature_adoption_rate,5000.0,0.5954771570195194,0.20546261835436008,0.0,0.45432767499596266,0.6027685752352303,0.7398312535132867,1.0
usage_change_30d,5000.0,-5.62194201586676,20.32719618920732,-82.20212116557181,-17.68692939123345,-0.2756688491684089,8.873305336428327,43.566301743769934
usage_change_90d,5000.0,-5.5651475702692474,20.89380517924176,-81.09945833542686,-17.78725199464514,-0.8440994667997317,9.46024159887288,45.15941781959068
support_tickets_30d,5000.0,0.9574,1.395125268534328,0.0,0.0,0.0,1.0,9.0
support_tickets_90d,5000.0,1.9578,1.7214563143944357,0.0,1.0,2.0,3.0,11.0
open_tickets,5000.0,0.2904,0.771353898912473,0.0,0.0,0.0,0.0,3.0
avg_resolution_hours,5000.0,23.02617753218583,21.418716933489065,1.0,9.720544474203857,14.852364066945544,26.453866402150258,142.9227582610304
escalation_count,5000.0,0.0968,0.4528474071415569,0.0,0.0,0.0,0.0,5.0
emails_opened,5000.0,4.9768,2.2420676023319825,0.0,3.0,5.0,6.0,15.0
emails_clicked,5000.0,0.9944,0.9847652474161056,0.0,0.0,1.0,2.0,5.0
csat_score,5000.0,4.138507298115118,0.7152420737752735,1.0,4.135111114629061,4.288044225563166,4.437355345541988,5.0
nps_score,5000.0,6.986632869269479,1.7169997494925813,0.0,7.230382195603834,7.230441330154294,7.230500464704754,10.0
sentiment_trend,5000.0,-0.028158578063492062,0.21168038421485064,-0.4873666666666666,0.0,0.0,0.0,0.4404
churn_probability_ground_truth,5000.0,0.4766247553220768,0.2972440132193498,0.01,0.21863035699532501,0.4808541195919982,0.71854444791311,0.99
churned,5000.0,0.4714,0.499231295470622,0.0,0.0,0.0,1.0,1.0
segment_id,5000.0,1.7982,1.2009018248960268,0.0,1.0,2.0,2.0,4.0
